median_square_feet,average_listing_price,indicator
1829,377171,No deal
1303,209300,Good deal
1428,738951,No deal
1952,355228,Good deal
1662,532053,No deal
2520,139950,Good deal
1850,235625,Good deal
3700,2120446,No deal
3052,209900,Good deal
2389,350181,No deal
2226,657197,Good deal
2484,2759271,No deal
1400,113675,Good deal
2358,1049000,No deal
1332,308453,No deal
1904,621569,Good deal
800,230000,Good deal
2774,497713,No deal
2124,968670,Good deal
2310,377815,Good deal
2039,548069,Good deal
1056,214054,Good deal
3272,751595,No deal
1408,399766,No deal
2085,556958,Good deal
1727,466314,No deal
1487,607604,No deal
1375,213945,Good deal
1801,365809,No deal
2747,306287,No deal
1622,89900,Good deal
2307,599999,Good deal
1800,570888,No deal
1587,349876,No deal
1623,110820,Good deal
1637,410721,No deal
2676,6283542,No deal
1432,169149,Good deal
1851,380795,No deal
2463,272245,Good deal
1394,260000,Good deal
1200,185224,Good deal
1212,1112531,No deal
1100,255668,Good deal
1843,264945,Good deal
1363,116495,Good deal
1877,2031009,No deal
1118,127083,Good deal
1901,360048,Good deal
5012,835639,No deal
1650,127450,Good deal
2100,380000,Good deal
2700,1250000,No deal
930,74900,Good deal
1900,434833,Good deal
1068,31000,Good deal
2387,539229,No deal
1366,279708,Good deal
1867,385869,No deal
2311,885570,Good deal
960,89500,Good deal
1197,262950,Good deal
3400,1581900,No deal
2063,295000,Good deal
1573,164974,Good deal
1399,919436,No deal
1327,141233,Good deal
2068,194790,Good deal
944,100000,Good deal
1080,220250,Good deal
1970,339956,Good deal
1721,938744,No deal
880,140000,Good deal
1958,256981,Good deal
1400,198850,Good deal
1700,399900,No deal
1440,1242916,No deal
887,1065602,No deal
4480,278000,Good deal
1107,46005,Good deal
4315,552357,No deal
1670,787367,No deal
1846,135000,Good deal
2800,1247500,No deal
2448,748266,No deal
1152,149187,Good deal
2618,347967,No deal
2300,256873,Good deal
2701,472450,No deal
1900,643246,Good deal
1167,402513,No deal
2886,743081,No deal
2201,708931,Good deal
1418,399900,No deal
2396,552028,No deal
1873,305336,No deal
2289,668878,Good deal
1980,354462,Good deal
1321,339827,No deal
1937,3182533,Good deal
2400,378280,No deal
2208,1739667,Good deal
1124,454653,No deal
2480,404346,No deal
2560,310975,No deal
956,458024,No deal
1908,348672,Good deal
1650,471062,No deal
950,151839,Good deal
2775,623560,No deal
2005,188345,Good deal
1986,295724,Good deal
1571,1134218,No deal
2919,523428,No deal
2348,442907,No deal
2168,559900,Good deal
6681,6158448,No deal
2832,198000,Good deal
1828,429502,No deal
2493,2031333,No deal
2080,151450,Good deal
2986,1342190,No deal
2165,737500,Good deal
1392,101950,Good deal
1612,326097,No deal
6771,3.08E+07,No deal
3200,225000,Good deal
2587,299900,No deal
2088,132200,Good deal
1820,790446,No deal
760,190000,Good deal
2393,918942,No deal
1805,415663,No deal
1567,131783,Good deal
2563,308306,No deal
1336,1070552,No deal
2118,410676,Good deal
1815,5052091,No deal
3100,337925,No deal
1570,168074,Good deal
1772,477813,No deal
1212,108581,Good deal
2064,335900,Good deal
2145,238280,Good deal
5176,196650,Good deal
2026,165936,Good deal
1688,569835,No deal
1364,220214,Good deal
3768,369000,No deal
1800,261110,Good deal
2360,1261431,No deal
3863,854705,No deal
3574,3507765,No deal
3207,814375,No deal
1800,301500,No deal
2501,416876,No deal
2220,557010,Good deal
2221,1725882,Good deal
3505,236633,Good deal
2508,435367,No deal
1900,55000,Good deal
2102,157688,Good deal
2296,179900,Good deal
2519,50000,Good deal
1735,241278,Good deal
1780,247786,Good deal
2336,526509,Good deal
1769,697000,No deal
2514,360694,No deal
3124,712667,No deal
1762,190890,Good deal
1987,816773,Good deal
1745,284526,Good deal
1956,188438,Good deal
2562,443976,No deal
1680,90000,Good deal
1326,270908,Good deal
2025,220213,Good deal
1823,835667,No deal
1695,283149,Good deal
2072,1103327,Good deal
2375,577670,No deal
2375,104000,Good deal
3512,981971,No deal
2299,354388,Good deal
1950,450300,Good deal
1577,310540,No deal
2579,603779,No deal
1996,114550,Good deal
883,100000,Good deal
1872,119900,Good deal
3178,1250000,No deal
2165,494083,Good deal
1660,615714,No deal
1383,435000,No deal
2042,314984,Good deal
1734,1007815,No deal
4224,770817,No deal
1613,168305,Good deal
1785,74400,Good deal
2260,332912,Good deal
1535,243039,Good deal
1461,700091,No deal
1581,192939,Good deal
3533,315490,No deal
1225,310455,No deal
1238,103798,Good deal
2114,512250,Good deal
8876,2379690,No deal
1812,297313,No deal
3162,200847,Good deal
14181,1335229,No deal
1176,317500,No deal
3046,921950,No deal
2500,530750,No deal
2135,352703,Good deal
1530,206243,Good deal
1496,199950,Good deal
2864,307125,No deal
1481,248944,Good deal
2297,736508,Good deal
1704,129950,Good deal
1296,446169,No deal
3987,120328,Good deal
